Date,Open,High,Low,Close,Adj Close,Volume
2013-07-18,145.699997,150.600006,145.050003,149.750000,142.104980,1208925
2013-07-19,150.500000,150.500000,145.350006,146.699997,139.210693,670836
2013-07-22,146.000000,146.850006,144.000000,145.649994,138.214294,518078
2013-07-23,146.000000,148.050003,146.000000,146.800003,139.305588,854668
2013-07-24,144.250000,147.399994,143.699997,145.649994,138.214294,557040
2013-07-25,145.500000,148.750000,143.649994,147.350006,139.827530,1002650
2013-07-26,148.000000,148.300003,142.649994,143.600006,136.268951,1729266
2013-07-29,143.000000,143.000000,137.899994,139.449997,132.330811,1552283
2013-07-30,138.100006,140.000000,135.050003,135.699997,129.702377,1537956
2013-07-31,135.800003,135.850006,116.650002,125.250000,119.714226,5120681
2013-08-01,126.500000,148.399994,125.199997,140.949997,134.720322,6475235
2013-08-02,143.000000,143.000000,125.000000,125.250000,119.714226,4117068
2013-08-05,129.000000,129.000000,117.949997,123.250000,117.802628,3230823
2013-08-06,120.699997,134.750000,120.349998,130.050003,124.302063,3407089
2013-08-07,129.000000,135.350006,128.500000,134.199997,128.268631,1814154
2013-08-08,134.949997,145.000000,133.449997,142.199997,135.915085,1294871
2013-08-12,143.399994,147.000000,141.600006,144.350006,137.970062,1539039
2013-08-13,144.899994,147.350006,142.100006,144.350006,137.970062,676958
2013-08-14,144.750000,147.600006,143.550003,145.449997,139.021439,2171281
2013-08-16,144.899994,146.800003,140.949997,141.949997,135.676117,1747053
2013-08-19,135.500000,140.199997,125.099998,131.250000,125.449051,2769817
2013-08-20,128.000000,133.750000,125.000000,127.699997,122.055954,1164236
2013-08-21,131.949997,132.699997,126.000000,126.699997,121.100136,939051
2013-08-22,126.000000,126.900002,120.099998,122.300003,116.894623,2481435
2013-08-23,124.000000,124.800003,118.949997,123.349998,117.898193,3373987
2013-08-26,124.750000,127.650002,121.500000,123.800003,118.328316,2440388
2013-08-27,123.099998,125.599998,121.800003,123.500000,118.041580,1341557
2013-08-28,122.099998,126.099998,121.500000,122.800003,117.372513,1892163
2013-08-29,122.500000,128.500000,121.300003,127.750000,122.103737,1572244
2013-08-30,127.000000,130.300003,122.650002,125.949997,120.383286,1635610
2013-09-02,125.599998,131.000000,124.199997,130.399994,124.636597,646648
2013-09-03,131.500000,131.949997,120.750000,121.949997,116.560097,1872958
2013-09-04,118.699997,124.849998,118.699997,123.699997,118.232735,1005021
2013-09-05,126.000000,128.399994,121.849998,122.550003,117.133560,1712545
2013-09-06,123.599998,127.500000,122.550003,126.849998,121.243515,1009977
2013-09-10,127.500000,130.500000,126.000000,129.399994,123.680809,1089788
2013-09-11,129.000000,130.750000,127.500000,128.199997,122.533844,1760377
2013-09-12,129.000000,130.500000,126.800003,129.149994,123.441841,865513
2013-09-13,129.500000,137.000000,129.500000,136.199997,130.180267,1256650
2013-09-16,139.399994,140.600006,135.000000,136.250000,130.228073,864897
2013-09-17,136.000000,136.399994,131.399994,132.300003,126.452629,1135789
2013-09-18,133.649994,135.199997,131.050003,133.050003,127.169495,312008
2013-09-19,136.600006,141.699997,134.399994,137.949997,131.852921,2949490
2013-09-20,137.300003,141.199997,136.000000,139.699997,133.525589,2326944
2013-09-23,139.000000,140.199997,136.050003,139.600006,133.429993,2996106
2013-09-24,138.000000,140.800003,137.899994,138.899994,132.760925,1450785
2013-09-25,138.000000,141.949997,137.000000,140.699997,134.481369,1023461
2013-09-26,140.600006,143.500000,140.000000,141.050003,134.815918,979813
2013-09-27,142.000000,143.000000,138.600006,140.600006,134.385803,632896
2013-09-30,140.699997,141.750000,137.050003,138.050003,131.948502,861504
2013-10-01,138.199997,140.399994,136.600006,138.699997,132.569778,2335850
2013-10-03,139.500000,142.250000,139.149994,140.850006,134.624771,421126
2013-10-04,139.750000,146.250000,138.899994,142.899994,136.584137,4360793
2013-10-07,143.000000,146.000000,142.649994,144.699997,138.304596,878860
2013-10-08,144.000000,146.600006,143.000000,144.500000,138.113434,666262
2013-10-09,143.000000,146.750000,142.949997,145.800003,139.355988,387134
2013-10-10,145.949997,147.449997,143.949997,145.800003,139.355988,1100941
2013-10-11,144.100006,151.800003,144.100006,150.399994,143.752640,5286940
2013-10-14,151.500000,152.399994,149.850006,150.949997,144.278336,1457949
2013-10-15,150.100006,151.899994,148.699997,151.300003,144.612869,2133195
2013-10-17,149.000000,152.750000,149.000000,150.149994,143.513718,3169858
2013-10-18,150.449997,154.949997,150.000000,152.750000,145.998795,1633030
2013-10-21,151.350006,163.000000,151.350006,156.899994,149.965363,2044981
2013-10-22,157.050003,164.399994,156.750000,159.800003,152.737198,2720432
2013-10-23,160.600006,160.899994,154.500000,159.000000,151.972549,3553428
2013-10-24,158.000000,161.699997,151.100006,154.899994,148.053772,6241761
2013-10-25,155.000000,157.449997,143.149994,144.399994,138.017838,3766465
2013-10-28,144.649994,147.899994,140.850006,145.100006,138.686905,2508923
2013-10-29,145.000000,146.100006,141.449997,145.100006,138.686905,3491805
2013-10-30,145.750000,149.500000,144.850006,146.449997,139.977219,1799363
2013-10-31,146.500000,146.899994,142.600006,145.500000,139.069229,1905129
2013-11-01,145.500000,147.000000,143.800003,144.850006,138.447968,2084157
2013-11-05,143.000000,155.500000,140.600006,151.850006,145.138565,6256796
2013-11-06,152.000000,156.600006,150.000000,150.899994,144.230545,2318436
2013-11-07,151.100006,155.899994,147.000000,148.300003,141.745499,1625414
2013-11-08,147.949997,152.899994,146.600006,148.399994,141.841049,1605475
2013-11-11,149.300003,152.300003,147.850006,149.899994,143.274734,2734419
2013-11-12,150.250000,152.800003,145.000000,146.199997,139.738297,1070011
2013-11-13,146.500000,147.500000,144.000000,145.250000,138.830292,1387266
2013-11-14,144.000000,155.550003,144.000000,152.800003,146.046555,3581094
2013-11-18,153.699997,157.899994,153.449997,154.800003,147.958176,3407642
2013-11-19,154.050003,157.949997,153.600006,154.600006,147.767014,2106533
2013-11-20,155.000000,160.949997,154.500000,156.300003,149.391907,2698124
2013-11-21,154.600006,158.649994,149.800003,152.050003,145.329727,2137637
2013-11-22,153.800003,155.899994,151.050003,152.699997,145.951019,1257846
2013-11-25,153.100006,162.000000,153.100006,161.250000,154.123123,4082301
